provincial,year,general_governments_revenue,taxes_on_incomes,from_households,income_taxes,wealth_transfer_taxes,from_corporations_and_government_business_enterprises_liabilities,contributions_to_social_insurance_plans,taxes_on_production_and_imports,taxes_on_production,natural_resource_licences_and_taxes,motor_vehicle_licences,licences_permits_and_fees,real_property_taxes,capital_taxes,payroll_taxes,agricultural_insurance_premiums,other_taxes_on_production,taxes_on_products,sales_taxes,general_sales_taxes,other_sales_taxes,excise_taxes,gasoline_and_motive_fuel_taxes,tobacco_taxes,amusement_taxes,land_transfer_taxes,liquor_gallonage_taxes,other_excise_taxes,liquor_trading_profits,gaming_trading_profits,other_current_transfers_from_households,motor_vehicle_and_drivers_licences,health_insurance_premiums,other_transfers_from_households,current_transfers_from_non_profit_institutions_serving_households,current_transfers_from_general_governments,from_federal_general_government,from_local_general_governments,investment_income,royalties,interest_and_other_investment_income,sales_of_goods_and_services,capital_transfers,from_general_governments,from_federal_general_government2,final_expenditure_on_goods_and_services,of_which_medicare,current_transfers_to_households,social_assistance,income_maintenance,other_social_assistance,social_insurance_benefits_workers_compensation,social_insurance_benefits_other,other_current_transfers_to_households,current_transfers_to_non_profit_institutions_serving_households,subsidies,subsidies_on_products_and_imports,non_agriculture,subsidies_on_factors_of_production,agriculture,non_agriculture2,current_transfers_to_general_governments,to_federal_general_government,to_local_general_governments,to_aboriginal_general_governments,capital_transfers2,to_households,to_business,to_general_governments,to_local_general_governments2,interest_on_debt,fixed_capital,new_capital,inventories
Alberta,2017,"50,266","17,456","10,923","10,923",0,"6,533","1,058","9,529","3,830",63,214,278,"2,260",0,0,366,649,"5,699","1,029",0,"1,029","2,375","1,375",918,5,0,0,77,869,"1,426","1,035",238,44,753,443,"7,784","7,720",64,"8,073","4,741","3,332","4,758",130,130,130,"37,392","4,578","4,779","2,508",317,"2,191",642,0,"1,629","1,186","2,037","1,306","1,264",731,504,227,"8,803",0,"8,657",146,"2,365",0,112,"2,220","2,220","1,577","4,679","4,679",2
British Columbia,2010,"41,934","8,966","7,381","7,325",56,"1,585","1,045","13,532","2,559",31,190,16,"1,877",0,0,8,437,"10,973","6,105","5,370",735,"2,872","1,235",722,0,853,0,62,889,"1,107",846,206,0,640,437,"8,175","8,175",0,"3,311","2,069",967,"4,932",690,690,690,"29,982","3,165","3,090","2,236","1,309",927,548,0,306,"1,201","1,275","1,088","1,068",187,0,187,"6,137",0,"6,028",109,120,0,38,82,82,"2,170","5,065","5,065",-12
British Columbia,2011,"42,280","9,812","8,191","8,131",60,"1,621","1,126","14,165","2,569",30,195,14,"1,865",0,0,6,459,"11,596","6,727","5,790",937,"2,877","1,250",660,0,939,0,28,890,"1,102",872,207,0,665,473,"6,780","6,780",0,"3,697","2,197","1,135","5,143",212,212,212,"31,009","3,368","3,454","2,335","1,350",985,806,0,313,"1,226","1,420","1,120","1,087",300,0,300,"6,266",0,"6,200",66,205,0,35,170,170,"2,354","4,071","4,071",4
British Columbia,2012,"44,244","10,848","9,021","8,966",55,"1,827","1,161","14,346","2,639",29,200,15,"1,907",1,0,6,481,"11,707","6,995","5,901","1,094","2,671","1,237",613,0,792,0,29,925,"1,116",899,203,0,696,502,"7,176","7,176",0,"3,921","2,306","1,269","5,276",115,115,115,"32,289","3,388","3,739","2,407","1,346","1,061","1,029",0,303,"1,080","1,573","1,135","1,116",438,0,438,"7,687","1,599","6,004",84,43,0,41,2,2,"2,347","4,760","4,760",2
British Columbia,2013,"45,604","11,272","9,053","8,991",62,"2,219","1,221","14,505","2,771",31,209,15,"1,999",0,0,6,511,"11,734","6,804","5,582","1,222","2,886","1,264",697,0,893,0,32,890,"1,154",837,213,0,624,438,"6,836","6,836",0,"4,399","2,483","1,647","5,939",157,157,157,"33,896","3,503","3,486","2,207","1,372",835,"1,009",0,270,"1,075","1,415","1,194","1,174",221,0,221,"6,112",1,"6,022",89,29,0,27,2,2,"2,450","3,954","3,954",-1
British Columbia,2014,"48,846","12,549","10,247","10,192",55,"2,302","1,321","15,527","2,889",33,211,16,"2,098",0,0,6,525,"12,638","7,473","6,216","1,257","3,040","1,239",754,0,"1,047",0,0,914,"1,211",838,209,0,629,455,"6,919","6,919",0,"4,987","2,870","1,607","6,143",107,107,107,"34,740","3,565","3,393","2,084","1,381",703,"1,030",0,279,"1,120","1,460","1,266","1,252",194,0,194,"5,982",-1,"5,871",112,21,0,21,0,0,"2,479","4,241","4,241",-2
British Columbia,2015,"50,538","13,372","11,059","10,980",79,"2,313","1,396","16,102","3,047",34,217,16,"2,207",0,0,7,566,"13,055","7,329","6,108","1,221","3,447","1,318",759,0,"1,370",0,0,972,"1,307",923,210,0,713,487,"7,115","7,115",0,"4,471","2,135","1,861","6,561",111,111,111,"35,507","3,702","3,563","2,310","1,427",883,903,0,350,"1,113","1,551","1,158","1,135",393,0,393,"6,249",0,"6,111",138,23,0,23,0,0,"2,694","4,174","4,174",11
British Columbia,2016,"53,933","14,284","11,450","11,379",71,"2,834","1,474","17,341","3,187",33,227,16,"2,265",0,0,5,641,"14,154","7,674","6,455","1,219","4,119","1,351",737,0,"2,031",0,0,"1,044","1,317",934,213,0,721,504,"7,600","7,600",0,"4,709","2,374","1,913","6,823",264,264,264,"36,462","3,870","3,588","2,371","1,507",864,888,0,329,"1,600","1,947","1,311","1,301",636,0,636,"6,544",0,"6,380",164,30,0,30,0,0,"2,643","4,233","4,233",5
British Columbia,2017,"56,432","15,046","11,803","11,715",88,"3,243","1,537","18,059","3,336",37,252,16,"2,372",0,0,7,652,"14,723","8,137","6,907","1,230","4,186","1,355",721,0,"2,110",0,0,"1,046","1,354",962,212,0,750,522,"8,233","8,233",0,"4,422","2,141","2,091","7,250",401,401,401,"38,104","3,954","3,853","2,586","1,663",923,904,0,363,"1,561","1,997","1,290","1,280",707,0,707,"7,135",0,"6,915",220,225,0,32,193,193,"2,628","4,987","4,987",0
Yukon,2010,"1,084",56,49,49,0,7,31,48,12,0,2,4,4,0,0,0,2,36,2,0,2,23,8,11,0,0,0,4,8,3,4,2,0,2,1,774,774,0,24,4,20,47,99,99,99,979,29,51,19,12,7,22,0,10,19,8,7,6,1,0,1,28,0,16,12,47,0,47,0,0,5,115,115,0
Yukon,2011,"1,139",69,59,59,0,10,30,51,12,0,1,4,4,0,0,0,3,39,2,0,2,24,8,12,0,0,0,4,10,3,5,2,0,3,1,812,812,0,27,5,20,45,99,99,99,"1,012",30,52,20,12,8,22,0,10,20,9,4,4,5,0,5,25,0,16,9,0,0,0,0,0,7,199,199,0
Yukon,2012,"1,122",85,73,73,0,12,26,48,11,0,1,4,4,0,0,0,2,37,2,0,2,24,8,12,0,0,0,4,8,3,5,2,0,3,1,861,861,0,25,4,21,45,26,26,26,"1,040",33,56,19,11,8,25,0,12,20,10,5,5,5,0,5,25,0,17,8,0,0,0,0,0,7,150,150,0
Yukon,2013,"1,203",89,72,72,0,17,24,52,14,0,2,4,5,0,0,0,3,38,3,0,3,23,8,11,0,0,0,4,9,3,6,4,0,2,1,922,922,0,33,4,22,50,26,26,26,"1,147",34,58,20,12,8,28,0,10,20,10,1,1,9,0,9,27,0,19,8,0,0,0,0,0,4,187,187,0
Yukon,2014,"1,173",82,66,66,0,16,22,51,16,0,3,5,5,0,0,0,3,35,1,0,1,22,8,10,0,0,0,4,9,3,2,1,0,1,1,945,945,0,31,1,30,36,3,3,3,"1,188",40,48,17,12,5,22,0,9,23,11,3,2,8,0,8,30,0,20,10,54,0,0,54,54,7,166,166,0
Yukon,2015,"1,176",76,61,61,0,15,21,51,17,0,3,5,6,0,0,0,3,34,0,0,0,22,8,10,0,0,0,4,9,3,1,0,0,1,1,961,961,0,28,0,28,33,4,4,4,"1,247",44,43,19,15,4,15,0,9,24,12,3,2,9,0,9,30,0,20,10,35,0,18,17,17,8,151,151,0
Yukon,2016,"1,214",87,69,69,0,18,20,46,15,0,3,5,4,0,0,0,3,31,0,0,0,21,7,10,0,0,0,4,7,3,1,0,0,1,1,988,988,0,29,0,26,34,8,8,8,"1,271",47,48,23,16,7,16,0,9,24,10,3,2,7,0,7,32,0,20,12,9,0,9,0,0,8,137,137,0
Yukon,2017,"1,253",89,69,69,0,20,22,45,14,0,3,5,3,0,0,0,3,31,0,0,0,21,7,10,0,0,0,4,7,3,1,0,0,1,1,"1,018","1,018",0,28,0,28,37,12,12,12,"1,304",49,50,24,16,8,17,0,9,24,12,3,2,9,0,9,36,0,23,13,2,0,2,0,0,8,294,294,0
Northwest Territories,2010,"1,597",191,119,119,0,72,36,92,31,0,1,1,24,0,0,0,5,61,0,0,0,32,16,16,0,0,0,0,24,5,7,2,0,5,3,"1,065","1,065",0,22,2,20,111,70,70,70,"1,350",37,80,21,0,21,23,0,36,14,4,4,4,0,0,0,166,0,154,12,33,0,0,33,33,2,284,284,0
Northwest Territories,2011,"1,615",210,130,130,0,80,42,99,33,0,1,1,24,0,0,0,7,66,0,0,0,37,19,18,0,0,0,0,25,4,8,2,0,6,3,"1,082","1,082",0,20,2,18,116,35,35,35,"1,428",38,87,18,0,18,36,0,33,15,3,3,3,0,0,0,160,0,148,12,33,0,0,33,33,5,211,211,2
Northwest Territories,2012,"1,657",215,147,147,0,68,45,100,37,0,2,2,28,0,0,0,5,63,0,0,0,34,18,16,0,0,0,0,25,4,7,2,0,5,3,"1,153","1,152",1,10,0,10,113,11,11,11,"1,467",40,73,22,0,22,27,0,24,12,2,2,2,0,0,0,157,0,145,12,32,0,0,32,32,6,170,170,1
Northwest Territories,2013,"1,676",187,136,136,0,51,47,101,37,0,2,1,28,0,0,0,6,64,0,0,0,35,19,16,0,0,0,0,25,4,10,4,0,6,3,"1,185","1,185",0,20,0,20,122,1,1,1,"1,522",40,64,20,0,20,24,0,20,13,20,20,20,0,0,0,159,0,147,12,28,0,0,28,28,7,278,278,0
Northwest Territories,2014,"1,983",201,147,147,0,54,52,99,37,0,2,1,28,0,0,0,6,62,0,0,0,35,19,16,0,0,0,0,24,3,8,4,0,4,0,"1,344","1,344",0,70,51,19,143,66,66,66,"1,758",41,65,23,0,23,22,0,20,12,29,29,29,0,0,0,172,0,154,18,31,0,0,31,31,8,265,265,-3
Northwest Territories,2015,"2,063",201,152,152,0,49,58,100,38,0,2,1,28,0,0,0,7,62,0,0,0,36,20,16,0,0,0,0,24,2,8,4,0,4,0,"1,404","1,404",0,88,62,26,145,59,59,59,"1,811",42,67,21,0,21,26,0,20,15,32,32,32,0,0,0,177,0,144,33,31,0,0,31,26,8,253,253,-4
Northwest Territories,2016,"2,182",239,161,161,0,78,58,100,36,0,2,1,28,0,0,0,5,64,0,0,0,39,23,16,0,0,0,0,23,2,5,4,0,1,0,"1,413","1,413",0,93,66,27,157,117,117,117,"1,828",42,88,23,0,23,39,0,26,16,20,20,20,0,0,0,186,0,137,49,36,0,0,36,15,11,306,306,-1
Northwest Territories,2017,"2,237",185,137,137,0,48,59,105,37,0,2,1,30,0,0,0,4,68,0,0,0,41,25,16,0,0,0,0,25,2,4,4,0,0,0,"1,453","1,453",0,92,68,24,162,177,177,177,"1,880",43,96,24,0,24,44,0,28,16,17,17,17,0,0,0,190,0,136,54,34,0,0,34,12,12,298,298,0
Nunavut,2010,"1,386",68,53,53,0,15,0,23,4,0,0,1,2,0,0,0,1,19,0,0,0,17,5,12,0,0,0,0,1,1,0,0,0,0,0,"1,201","1,201",0,8,0,8,45,41,41,41,"1,184",34,59,47,28,19,0,0,12,19,43,38,38,5,0,5,125,0,125,0,0,0,0,0,0,8,203,203,25
Nunavut,2011,"1,472",80,59,59,0,21,0,28,5,0,0,1,3,0,0,0,1,23,0,0,0,21,6,15,0,0,0,0,1,1,0,0,0,0,0,"1,248","1,248",0,10,0,10,54,52,52,52,"1,225",34,64,53,34,19,0,0,11,23,48,41,41,7,0,7,120,0,120,0,0,0,0,0,0,7,214,214,6
Nunavut,2012,"1,556",73,49,49,0,24,0,28,6,0,0,1,4,0,0,0,1,22,0,0,0,20,4,16,0,0,0,0,1,1,0,0,0,0,0,"1,355","1,355",0,15,0,15,56,29,29,29,"1,312",37,50,43,36,7,0,0,7,23,44,39,39,5,0,5,120,0,120,0,0,0,0,0,0,7,105,105,-15
Nunavut,2013,"1,648",67,51,51,0,16,0,28,5,0,0,1,3,0,0,0,1,23,0,0,0,21,5,16,0,0,0,0,1,1,0,0,0,0,0,"1,446","1,446",0,18,0,18,56,33,33,33,"1,383",40,54,46,38,8,0,0,8,24,48,42,42,6,0,6,114,0,114,0,0,0,0,0,0,5,151,151,-20
Nunavut,2014,"1,674",67,52,52,0,15,0,30,7,0,0,1,4,0,0,0,2,23,0,0,0,21,5,16,0,0,0,0,1,1,0,0,0,0,0,"1,487","1,487",0,20,0,20,68,2,2,2,"1,453",41,52,44,36,8,0,0,8,24,48,43,43,5,0,5,115,0,115,0,0,0,0,0,0,4,234,234,100
Nunavut,2015,"1,723",70,55,55,0,15,0,35,8,0,0,1,5,0,0,0,2,27,0,0,0,25,8,17,0,0,0,0,1,1,0,0,0,0,0,"1,527","1,527",0,19,0,19,71,1,1,1,"1,576",36,52,41,36,5,0,0,11,24,48,43,43,5,0,5,113,0,113,0,0,0,0,0,0,4,233,233,-7
Nunavut,2016,"1,785",74,59,59,0,15,0,39,10,0,0,1,7,0,0,0,2,29,0,0,0,27,10,17,0,0,0,0,1,1,0,0,0,0,0,"1,574","1,574",0,21,0,21,75,2,2,2,"1,688",33,61,49,42,7,0,0,12,27,50,42,42,8,0,8,106,0,106,0,0,0,0,0,0,4,212,212,-50
Nunavut,2017,"1,832",75,57,57,0,18,0,35,8,0,0,1,5,0,0,0,2,27,0,0,0,25,8,17,0,0,0,0,1,1,0,0,0,0,0,"1,612","1,612",0,20,0,20,87,3,3,3,"1,688",33,61,49,41,8,0,0,12,28,52,43,43,9,0,9,101,0,101,0,0,0,0,0,0,4,187,187,-12
