provincial,year,general_governments_revenue,taxes_on_incomes,from_households,income_taxes,wealth_transfer_taxes,from_corporations_and_government_business_enterprises_liabilities,contributions_to_social_insurance_plans,taxes_on_production_and_imports,taxes_on_production,natural_resource_licences_and_taxes,motor_vehicle_licences,licences_permits_and_fees,real_property_taxes,capital_taxes,payroll_taxes,agricultural_insurance_premiums,other_taxes_on_production,taxes_on_products,sales_taxes,general_sales_taxes,other_sales_taxes,excise_taxes,gasoline_and_motive_fuel_taxes,tobacco_taxes,amusement_taxes,land_transfer_taxes,liquor_gallonage_taxes,other_excise_taxes,liquor_trading_profits,gaming_trading_profits,other_current_transfers_from_households,motor_vehicle_and_drivers_licences,health_insurance_premiums,other_transfers_from_households,current_transfers_from_non_profit_institutions_serving_households,current_transfers_from_general_governments,from_federal_general_government,from_local_general_governments,investment_income,royalties,interest_and_other_investment_income,sales_of_goods_and_services,capital_transfers,from_general_governments,from_federal_general_government2,final_expenditure_on_goods_and_services,of_which_medicare,current_transfers_to_households,social_assistance,income_maintenance,other_social_assistance,social_insurance_benefits_workers_compensation,social_insurance_benefits_other,other_current_transfers_to_households,current_transfers_to_non_profit_institutions_serving_households,subsidies,subsidies_on_products_and_imports,non_agriculture,subsidies_on_factors_of_production,agriculture,non_agriculture2,current_transfers_to_general_governments,to_federal_general_government,to_local_general_governments,to_aboriginal_general_governments,capital_transfers2,to_households,to_business,to_general_governments,to_local_general_governments2,interest_on_debt,fixed_capital,new_capital,inventories
New Brunswick,2015,"9,270","1,903","1,622","1,621",1,281,153,"2,581",624,0,39,7,497,27,0,3,51,"1,957","1,210","1,205",5,419,278,128,0,13,0,0,168,160,173,74,0,99,66,"2,966","2,966",0,542,103,439,865,21,21,21,"7,914",606,"1,099",260,248,12,166,0,673,158,124,92,71,32,5,27,236,4,180,52,69,0,0,69,69,880,918,918,4
New Brunswick,2016,"9,665","2,006","1,645","1,645",0,361,199,"2,761",651,0,40,7,513,30,0,2,59,"2,110","1,319","1,314",5,465,285,157,0,23,0,0,166,160,165,75,0,90,66,"3,012","3,012",0,512,65,447,898,46,46,46,"8,195",627,"1,129",255,253,2,220,0,654,176,125,93,75,32,4,28,259,7,191,61,65,0,0,65,65,855,"1,028","1,028",4
New Brunswick,2017,"10,161","2,021","1,662","1,662",0,359,242,"2,928",680,0,43,7,530,32,0,4,64,"2,248","1,453","1,448",5,473,290,154,0,29,0,0,163,159,160,78,0,82,68,"3,197","3,197",0,529,81,448,944,72,72,72,"8,445",647,"1,151",253,253,0,237,0,661,177,134,103,85,31,4,27,270,8,187,75,89,0,0,89,89,844,"1,098","1,098",-10
Quebec,2010,"92,548","28,002","22,875","22,875",0,"5,127","3,870","24,311","7,701",0,322,183,374,454,"5,592",145,631,"16,610","9,915","9,684",231,"4,530","1,818",859,12,0,446,"1,395",913,"1,252","3,410",632,860,"1,918",490,"17,866","17,739",127,"6,874",769,"4,219","6,618","1,107",951,951,"50,263","5,373","12,415","5,473","2,779","2,694","1,549","1,690","3,703","3,107","4,571","2,556","2,124","2,015",447,"1,568","9,817",647,"8,948",222,"2,358",53,531,"1,527","1,527","11,330","9,497","9,497",11
Quebec,2011,"97,828","29,927","24,398","24,398",0,"5,529","4,264","26,982","8,296",0,307,169,379,379,"6,051",322,689,"18,686","11,746","11,521",225,"4,795","1,980",914,11,0,436,"1,454",958,"1,187","3,573",655,876,"2,042",548,"17,351","17,258",93,"7,547",826,"4,763","6,937",699,699,699,"53,369","5,697","12,806","6,000","2,822","3,178","1,587","1,725","3,494","3,318","4,650","2,458","2,089","2,192",490,"1,702","10,313",687,"9,398",228,"2,193",56,593,"1,164","1,164","12,378","10,403","10,403",9
Quebec,2012,"100,996","31,459","26,209","26,209",0,"5,250","4,551","28,680","8,290",0,333,176,379,276,"6,231",182,713,"20,390","13,251","13,030",221,"4,933","2,074",875,15,0,457,"1,512","1,030","1,176","3,649",696,886,"2,067",544,"17,163","17,060",103,"7,239",947,"5,647","7,128",583,583,583,"55,196","6,042","13,527","6,660","2,817","3,843","1,746","1,786","3,335","3,209","4,822","2,617","2,207","2,205",432,"1,773","10,746",713,"9,774",259,"2,178",61,681,"1,210","1,210","12,683","10,053","10,053",26
Quebec,2013,"105,836","31,937","26,955","26,955",0,"4,982","4,662","29,898","8,498",0,356,170,403,35,"6,654",149,731,"21,400","13,907","13,675",232,"5,326","2,227",994,16,0,534,"1,555","1,010","1,157","3,886",726,953,"2,207",562,"18,306","18,172",134,"8,971","1,132","5,632","7,371",243,243,243,"58,140","6,644","14,155","6,945","2,865","4,080","1,620","1,859","3,731","3,399","4,599","2,396","2,004","2,203",289,"1,914","11,073",756,"9,964",353,"2,443",67,717,"1,379","1,377","13,150","9,642","9,642",-1
Quebec,2014,"110,495","33,124","28,136","28,136",0,"4,988","4,699","30,989","8,968",0,362,294,405,0,"6,951",117,839,"22,021","14,401","14,247",154,"5,472","2,204","1,064",15,0,608,"1,581","1,026","1,122","3,867",740,989,"2,138",566,"19,657","19,492",165,"9,736","1,045","6,156","7,673",184,184,184,"60,400","7,142","14,674","6,999","2,897","4,102","1,697","1,898","4,080","3,330","4,444","2,297","1,968","2,147",172,"1,975","10,777",775,"9,656",346,"2,482",59,745,"1,408","1,404","13,625","8,988","8,988",-10
Quebec,2015,"114,131","34,305","29,118","29,118",0,"5,187","4,717","32,779","9,880",0,373,"1,024",419,0,"7,057",75,932,"22,899","14,899","14,877",22,"5,759","2,251","1,076",15,0,643,"1,774","1,034","1,207","3,963",763,"1,056","2,144",554,"19,941","19,780",161,"9,760","1,053","6,557","7,943",169,169,169,"61,474","7,528","14,793","6,996","2,893","4,103","1,671","1,927","4,199","3,390","4,318","2,175","1,857","2,143",128,"2,015","10,800",802,"9,586",412,"2,328",38,731,"1,335","1,333","13,905","8,611","8,611",1
Quebec,2016,"116,574","34,952","29,508","29,508",0,"5,444","4,681","33,175","9,887",0,381,663,402,0,"7,322",81,"1,038","23,288","15,190","15,190",0,"5,814","2,282","1,062",16,0,639,"1,815","1,057","1,227","3,981",795,"1,146","2,040",592,"20,218","20,057",161,"10,759","1,058","7,232","8,095",121,121,121,"63,231","8,018","14,699","6,813","2,892","3,921","1,693","1,956","4,237","3,455","4,310","2,148","1,852","2,162",120,"2,042","10,944",857,"9,709",378,"2,825",52,"1,195","1,358","1,356","13,907","7,889","7,889",-5
Quebec,2017,"120,258","34,933","29,673","29,673",0,"5,260","4,743","34,677","10,328",0,394,813,405,0,"7,565",86,"1,065","24,349","16,135","16,135",0,"5,823","2,291","1,003",15,0,631,"1,883","1,084","1,307","3,953",800,"1,214","1,939",601,"22,196","22,041",155,"10,662","1,046","7,895","8,376",117,117,117,"65,727","8,317","14,640","6,603","2,802","3,801","1,769","1,936","4,332","3,681","4,375","2,235","1,936","2,140",120,"2,020","11,680",833,"10,432",415,"2,304",56,712,"1,275","1,274","14,368","8,527","8,527",-16
Ontario,2010,"119,836","34,272","25,694","25,586",108,"8,578","3,738","36,849","7,108",0,255,47,304,718,"4,678",56,"1,050","29,741","19,169","19,098",71,"7,306","3,047","1,142",301,"1,329",530,957,"1,518","1,748","2,838",662,0,"2,176","1,696","24,074","23,850",224,"1,407",121,"1,244","13,420","1,542","1,542","1,542","77,501","10,508","15,264","6,209","3,573","2,636","3,646",0,"5,409","4,302","1,514",994,934,520,13,507,"21,230",0,"21,029",201,"12,763",24,"1,401","11,160","11,160","10,116","13,627","13,627",18
Ontario,2011,"119,724","35,482","26,925","26,796",129,"8,557","3,916","38,408","7,064",0,256,51,376,210,"4,992",52,"1,127","31,344","20,489","20,418",71,"7,552","3,079","1,152",275,"1,520",564,962,"1,592","1,711","2,838",650,0,"2,188","1,723","21,072","20,882",190,"1,849",161,"1,291","13,873",563,563,563,"80,366","11,001","14,643","6,460","3,869","2,591","4,193",0,"3,990","4,403","3,141","2,432","2,190",709,79,630,"22,200",0,"21,928",272,"3,175",1,"1,608","1,489","1,489","11,017","12,743","12,743",0
Ontario,2012,"125,416","37,419","28,719","28,596",123,"8,700","4,194","38,883","6,960",0,257,45,311,0,"5,121",49,"1,177","31,923","20,935","20,877",58,"7,645","3,104","1,146",265,"1,612",561,957,"1,682","1,661","2,916",682,0,"2,234","1,842","22,911","22,818",93,"2,203",173,"1,453","14,603",445,445,445,"82,746","11,245","11,033","6,566","4,070","2,496","1,853",0,"2,614","4,256","3,321","2,407","2,170",914,126,788,"23,978",0,"23,679",299,"3,802",4,"2,078","1,648","1,648","11,346","12,115","12,115",-7
Ontario,2013,"129,046","38,760","29,493","29,353",140,"9,267","4,414","39,861","7,350",0,320,43,499,0,"5,246",61,"1,181","32,511","21,304","21,222",82,"7,691","3,085","1,117",257,"1,705",558,969,"1,730","1,786","3,005",719,0,"2,286","1,819","23,023","22,954",69,"2,350",160,"1,955","15,364",450,450,450,"84,320","11,150","12,476","7,223","4,217","3,006","1,855",0,"3,398","3,884","3,344","2,581","2,510",763,86,677,"24,767",0,"24,467",300,"3,911",4,"2,227","1,598","1,575","11,503","12,465","12,465",45
Ontario,2014,"134,638","41,777","31,684","31,534",150,"10,093","4,513","41,879","7,341",0,374,50,283,0,"5,378",59,"1,197","34,538","23,009","22,921",88,"7,990","3,148","1,160",250,"1,898",558,976,"1,776","1,763","2,978",821,0,"2,157","1,802","22,882","22,757",125,"2,454",185,"2,122","16,082",271,271,271,"86,911","11,515","11,935","7,050","4,398","2,652","2,055",0,"2,830","3,679","3,237","2,366","2,297",871,87,784,"23,791",0,"23,540",251,"3,895",6,"2,146","1,706","1,658","12,073","11,765","11,765",132
Ontario,2015,"143,947","45,010","34,338","34,170",168,"10,672","4,687","44,872","7,954",0,484,36,594,0,"5,573",52,"1,215","36,918","24,723","24,647",76,"8,363","3,257","1,150",272,"2,214",571,899,"1,844","1,988","3,164",881,0,"2,283","1,875","23,955","23,848",107,"2,996",183,"1,755","16,981",407,407,407,"90,729","11,793","12,460","7,567","4,631","2,936","1,917",0,"2,976","2,905","3,327","2,494","2,427",833,95,738,"25,138",24,"24,683",431,"4,719",4,"2,108","2,455","2,446","12,032","12,558","12,558",-87
Ontario,2016,"150,290","46,646","34,517","34,348",169,"12,129","4,915","47,790","8,270",0,513,42,494,0,"5,831",53,"1,337","39,520","26,168","26,092",76,"8,949","3,381","1,230",302,"2,716",588,732,"2,224","2,179","3,244",966,0,"2,278","1,864","24,649","24,522",127,"2,775",176,"2,126","17,932",475,475,475,"92,377","11,981","12,262","7,577","4,868","2,709","1,895",0,"2,790","3,343","3,030","1,689","1,631","1,341",84,"1,257","25,521",34,"24,994",493,"5,776",12,"3,502","2,134","2,117","12,332","11,952","11,952",-26
Ontario,2017,"159,571","49,723","36,180","35,985",195,"13,543","4,885","52,175","10,537",0,563,"1,974",520,0,"6,119",58,"1,303","41,638","27,396","27,320",76,"9,746","3,488","1,241",330,"3,416",602,669,"2,110","2,386","3,428","1,076",0,"2,352","1,947","25,047","24,901",146,"3,143",181,"1,991","18,674",549,549,549,"95,315","12,297","13,220","7,815","5,104","2,711","1,931",0,"3,474","5,316","3,691","2,457","2,399","1,234",84,"1,150","26,484",31,"25,619",834,"4,575",9,"3,192","1,115","1,095","12,651","13,115","13,115",56
Manitoba,2010,"13,638","2,866","2,514","2,514",0,352,247,"3,640",917,10,27,12,137,155,372,91,113,"2,723","1,622","1,607",15,527,239,229,1,58,0,0,245,329,257,105,0,152,89,"4,210","4,210",0,"1,024",139,885,"1,066",239,239,239,"9,402",950,854,660,536,124,105,0,89,141,536,290,186,246,225,21,"1,901",31,"1,835",35,108,0,13,91,91,"1,268","1,562","1,562",9
Manitoba,2011,"13,718","3,026","2,623","2,623",0,403,263,"3,752",918,10,27,8,143,125,390,89,126,"2,834","1,698","1,680",18,551,238,244,3,66,0,0,250,335,255,108,0,147,84,"4,108","4,108",0,"1,043",159,884,"1,112",75,75,75,"10,172",964,900,687,575,112,109,0,104,202,830,470,148,360,334,26,"1,960",49,"1,874",37,149,0,18,123,123,"1,373","1,482","1,482",-10
Manitoba,2012,"14,277","3,358","2,875","2,875",0,483,276,"3,961",992,8,29,7,146,130,407,126,139,"2,969","1,767","1,748",19,621,293,252,3,73,0,0,268,313,271,120,0,151,88,"4,016","4,016",0,"1,118",148,970,"1,173",16,16,16,"10,788","1,038",969,709,591,118,161,0,99,149,469,247,208,222,200,22,"2,029",95,"1,899",35,291,0,5,277,277,"1,404","1,665","1,665",0
Manitoba,2013,"14,835","3,552","3,034","3,034",0,518,268,"4,315","1,066",6,29,7,159,150,423,144,148,"3,249","1,984","1,963",21,673,320,267,2,84,0,0,278,314,263,112,0,151,87,"3,989","3,989",0,"1,079",140,939,"1,266",16,16,16,"11,247","1,101","1,058",739,629,110,209,0,110,140,387,240,213,147,123,24,"2,232",73,"2,092",67,282,0,4,268,267,"1,395","1,571","1,571",0
Manitoba,2014,"15,149","3,622","3,131","3,131",0,491,280,"4,521","1,080",9,27,12,170,151,437,128,146,"3,441","2,161","2,141",20,674,325,261,2,86,0,0,275,331,297,128,0,169,101,"3,953","3,953",0,"1,002",136,866,"1,353",20,20,20,"11,385","1,141","1,013",707,604,103,168,0,138,231,437,239,200,198,170,28,"1,834",46,"1,710",78,468,0,9,454,454,"1,375","1,177","1,177",0
Manitoba,2015,"15,646","3,754","3,253","3,253",0,501,289,"4,677","1,092",7,28,13,179,143,447,119,156,"3,585","2,262","2,241",21,651,311,256,2,82,0,0,303,369,334,129,0,205,122,"3,956","3,956",0,"1,047",135,912,"1,439",28,28,28,"11,680","1,175","1,145",825,734,91,154,0,166,241,418,227,188,191,162,29,"1,966",53,"1,811",102,499,0,0,494,494,"1,435","1,300","1,300",1
Manitoba,2016,"16,226","4,028","3,479","3,479",0,549,264,"4,759","1,151",6,27,15,183,184,461,117,158,"3,608","2,307","2,285",22,669,330,251,2,85,0,1,276,356,354,133,0,221,135,"4,024","4,024",0,"1,136",132,"1,004","1,465",61,61,61,"12,007","1,253","1,181",906,801,105,112,0,163,306,398,217,179,181,156,25,"1,939",19,"1,823",97,461,0,0,461,461,"1,612","1,383","1,383",0
Manitoba,2017,"16,806","3,992","3,480","3,480",0,512,245,"4,956","1,181",8,26,15,184,183,479,116,170,"3,775","2,439","2,418",21,668,340,233,2,89,0,4,272,396,352,135,0,217,131,"4,346","4,346",0,"1,151",140,"1,011","1,544",89,89,89,"12,414","1,308","1,217",962,861,101,115,0,140,282,388,206,168,182,156,26,"2,002",33,"1,830",139,508,0,0,506,506,"1,725","1,369","1,369",1
Saskatchewan,2010,"13,654","2,613","1,817","1,811",6,796,267,"3,630","1,057",595,85,19,4,74,0,149,131,"2,573","1,257","1,250",7,770,457,226,1,0,0,86,181,365,896,55,0,841,139,"2,106","2,106",0,"2,491","1,767",541,"1,280",232,232,232,"8,492",527,"1,453",620,306,314,87,0,746,253,"1,281",541,247,740,726,14,"1,530",51,"1,433",46,352,0,117,235,235,662,"1,014","1,014",15
Saskatchewan,2011,"14,117","2,787","1,930","1,924",6,857,295,"3,877","1,204",681,83,15,3,104,0,197,121,"2,673","1,303","1,296",7,803,473,241,1,0,0,88,182,385,929,58,0,871,126,"2,014","2,014",0,"2,595","1,845",557,"1,347",147,147,147,"9,198",547,"1,693",633,314,319,87,0,973,293,"1,132",548,271,584,575,9,"1,979",99,"1,832",48,356,0,130,226,226,684,"1,156","1,156",4
Saskatchewan,2012,"15,147","3,252","2,421","2,414",7,831,313,"4,209","1,408",819,96,14,3,101,0,234,141,"2,801","1,388","1,380",8,833,489,251,1,0,0,92,187,393,989,65,0,924,146,"2,219","2,219",0,"2,626","1,616",521,"1,373",20,20,20,"9,216",561,"1,620",678,337,341,117,0,825,318,"1,026",317,267,709,698,11,"1,962",109,"1,806",47,239,0,3,236,236,666,"1,099","1,099",6
Saskatchewan,2013,"15,219","3,556","2,655","2,647",8,901,320,"4,308","1,390",725,99,16,4,111,0,284,151,"2,918","1,458","1,451",7,872,506,271,0,0,0,95,166,422,"1,018",61,0,957,142,"2,169","2,169",0,"2,234","1,603",511,"1,455",17,17,17,"9,421",577,"1,750",719,367,352,170,0,861,346,504,319,295,185,182,3,"2,139",146,"1,940",53,127,0,1,126,126,618,"1,071","1,071",3
Saskatchewan,2014,"15,525","3,485","2,581","2,574",7,904,311,"4,303","1,358",724,105,16,5,111,0,241,156,"2,945","1,458","1,449",9,900,539,265,0,0,0,96,167,420,"1,066",67,0,999,139,"2,231","2,231",0,"2,461","1,633",638,"1,499",30,30,30,"9,617",601,"1,733",653,396,257,123,0,957,362,632,278,254,354,351,3,"2,059",86,"1,914",59,209,0,0,209,209,643,"1,194","1,194",8
Saskatchewan,2015,"15,033","3,407","2,508","2,500",8,899,324,"4,075","1,203",578,98,10,6,125,0,218,168,"2,872","1,406","1,396",10,851,494,258,0,0,0,99,175,440,"1,327",69,0,"1,258",170,"2,216","2,216",0,"1,920",990,775,"1,565",29,29,29,"10,330",647,"1,805",668,427,241,71,0,"1,066",385,591,212,186,379,363,16,"1,957",10,"1,883",64,320,0,12,308,308,631,"1,384","1,384",5
Saskatchewan,2016,"14,481","3,480","2,588","2,580",8,892,307,"3,873","1,095",391,100,10,7,130,0,274,183,"2,778","1,328","1,318",10,837,482,261,0,0,0,94,169,444,"1,195",71,0,"1,124",133,"2,326","2,326",0,"1,521",734,628,"1,604",42,42,42,"10,344",688,"1,779",691,461,230,121,0,967,404,576,190,163,386,386,0,"2,070",44,"1,963",63,560,0,4,556,556,642,"1,781","1,781",6
Saskatchewan,2017,"15,196","3,133","2,356","2,347",9,777,302,"4,550","1,126",403,98,11,8,142,0,269,195,"3,424","1,958","1,948",10,881,531,256,0,0,0,94,175,410,"1,145",73,0,"1,072",134,"2,546","2,546",0,"1,684",880,632,"1,643",59,59,59,"10,733",695,"1,721",713,482,231,96,0,912,405,573,183,156,390,390,0,"2,063",49,"1,952",62,355,0,0,355,355,716,"1,828","1,828",-6
Alberta,2010,"40,981","11,620","7,341","7,341",0,"4,279",835,"6,545","2,713",121,173,172,"1,650",0,0,251,346,"3,832",71,0,71,"1,642",672,896,8,0,0,66,674,"1,445",711,167,57,487,306,"4,759","4,698",61,"11,741","9,323","2,418","3,812",652,652,652,"28,026","2,880","3,144","1,625",200,"1,425",504,0,"1,015","1,346","2,096","1,446","1,335",650,593,57,"7,257",0,"7,125",132,"1,101",0,2,"1,099","1,099",613,"5,205","5,205",-3
Alberta,2011,"44,226","12,320","8,322","8,322",0,"3,998","1,065","6,789","2,849",129,186,166,"1,733",0,0,285,350,"3,940",64,0,64,"1,757",802,879,8,0,0,68,681,"1,438",734,185,56,493,300,"4,701","4,700",1,"14,183","11,940","2,243","3,920",214,214,214,"29,761","3,133","3,159","1,609",206,"1,403",515,0,"1,035","1,338","1,027",496,332,531,448,83,"7,756",0,"7,628",128,"1,392",0,17,"1,375","1,375",691,"5,092","5,092",9
Alberta,2012,"44,568","14,488","9,645","9,645",0,"4,843","1,120","7,260","3,089",120,202,196,"1,871",0,0,315,385,"4,171",61,0,61,"1,878",866,920,8,0,0,84,715,"1,517",757,209,53,495,302,"5,236","5,201",35,"11,157","8,713","2,444","4,137",111,111,111,"31,396","3,306","3,150","1,650",215,"1,435",546,0,954,"1,125","1,179",245,178,934,853,81,"7,720",0,"7,572",148,"1,264",0,124,"1,140","1,140",709,"4,641","4,641",-8
Alberta,2013,"48,145","16,164","10,599","10,599",0,"5,565",752,"7,502","3,281",139,217,210,"1,941",0,0,363,411,"4,221",61,0,61,"1,939",919,926,8,0,0,86,736,"1,485",845,221,51,573,387,"5,699","5,611",88,"12,338","8,815","3,523","4,351",107,107,107,"31,943","3,510","3,662","1,851",226,"1,625",583,0,"1,228","1,186",875,247,213,628,477,151,"7,585",0,"7,442",143,"2,100",0,176,"1,924","1,924",783,"4,497","4,497",-34
Alberta,2014,"52,632","17,092","11,159","11,159",0,"5,933",657,"7,653","3,372",187,231,173,"1,986",0,0,327,468,"4,281",62,0,62,"1,949",949,901,7,0,0,92,753,"1,517",967,230,48,689,480,"6,232","6,150",82,"15,012","11,456","3,556","4,475",64,64,64,"33,663","3,780","3,821","1,704",232,"1,472",629,0,"1,488","1,212",991,338,292,653,514,139,"8,866",0,"8,441",425,"2,037",0,53,"1,984","1,984",979,"4,257","4,257",-15
Alberta,2015,"45,443","17,441","11,271","11,271",0,"6,170",582,"8,177","3,377",97,228,259,"2,040",0,0,301,452,"4,800",57,0,57,"2,364","1,264","1,010",7,0,0,83,832,"1,547",965,238,48,679,412,"6,682","6,602",80,"6,510","3,424","3,086","4,599",75,75,75,"35,220","4,091","4,013","1,687",242,"1,445",616,0,"1,710","1,241","1,157",328,278,829,591,238,"8,194",0,"8,038",156,"2,446",0,174,"2,272","2,272","1,138","4,686","4,686",2
Alberta,2016,"46,745","17,563","10,800","10,800",0,"6,763",943,"8,483","3,712",68,211,282,"2,188",0,0,370,593,"4,771",57,0,57,"2,393","1,370",942,8,0,0,73,857,"1,464",985,237,46,702,405,"7,413","7,335",78,"6,290","2,581","3,709","4,561",102,102,102,"36,207","4,411","4,459","2,086",297,"1,789",602,0,"1,771","1,288",988,241,199,747,501,246,"9,343",0,"9,170",173,"2,892",0,99,"2,793","2,793","1,210","4,319","4,319",-5
