date,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul
finance_and_insurance,"683,626","679,647","677,062","679,460","681,332","687,768","687,317","682,380","680,909","684,771","688,084","685,173","677,918","682,613","679,724","683,603","684,117","692,466","690,855","685,798","684,730","682,838","684,729","691,036","693,015","689,579","689,067","689,310","692,569","700,489","695,706","692,852","691,427","690,492","692,712","699,750","698,472","691,933","691,513","692,163","694,392","703,416","706,274","705,580","697,983","698,759","695,486","706,248","700,944","699,154","698,715","701,721","706,321","713,660","710,317","709,879","704,312","700,709","699,403","707,682","706,050","702,565","705,470","707,465","709,044","717,817","716,281","711,283","707,846","707,621","712,039","724,446","721,576","714,497","714,832","717,176","719,975","723,298","726,133","722,388","721,655","722,642","724,222","729,085","723,398","722,559","719,863","719,943","727,943","728,643","730,169","727,836","724,341","721,665","722,862","728,725","724,594","724,021","723,903","725,350","731,044","738,088","736,392","737,044","732,811","735,810","739,900","750,712","739,091","735,527","740,150","746,945","745,710","750,909","756,063"
real_estate_and_rental_and_leasing,"248,667","244,246","243,114","245,162","247,853","255,432","256,325","253,340","253,387","251,598","253,509","261,145","251,697","251,985","249,939","249,255","251,954","261,226","259,134","257,530","257,394","252,263","252,474","256,205","247,422","245,831","246,795","247,000","256,652","261,723","262,592","263,445","260,665","259,370","258,539","259,774","255,443","257,671","261,416","262,053","267,266","274,770","276,412","277,801","274,315","272,805","272,434","279,022","269,350","265,890","268,642","271,632","279,085","287,109","288,567","289,117","288,318","285,499","284,815","290,173","281,741","279,603","277,427","282,040","286,232","292,418","293,906","291,102","290,673","295,058","295,296","302,407","291,910","289,575","284,070","284,254","288,800","298,304","297,520","294,189","296,400","293,337","292,231","298,722","289,639","287,060","283,411","285,388","291,259","300,870","300,359","299,989","301,526","297,349","296,357","299,992","289,623","288,582","287,722","285,235","292,031","299,170","297,327","296,838","298,508","296,759","297,022","301,284","293,382","291,340","291,714","292,083","298,458","306,014","303,698"
professional_scientific_and_technical_services,"747,067","751,043","754,957","758,713","765,037","771,672","767,897","762,710","761,190","761,153","765,244","779,704","761,307","771,259","776,356","780,308","786,410","794,372","793,250","790,842","790,387","788,314","793,620","806,027","794,698","798,742","794,357","801,617","814,946","825,225","823,668","817,010","811,609","810,074","814,413","822,263","801,869","808,458","809,812","814,576","822,146","832,066","830,025","828,754","826,326","825,194","826,763","836,034","819,850","818,238","823,250","827,929","839,404","852,554","852,024","854,695","850,967","851,752","852,474","858,517","843,849","845,891","846,940","850,036","857,301","863,785","861,461","860,074","855,508","853,193","850,704","866,383","849,621","848,039","849,449","852,342","861,763","869,716","866,837","864,798","866,325","866,023","869,849","885,927","869,254","873,731","876,103","879,146","892,715","901,245","897,944","898,708","897,530","893,823","897,917","914,727","898,868","905,656","916,013","919,683","934,314","940,216","938,385","939,204","935,279","937,841","945,235","961,401","947,391","948,449","953,272","956,396","968,091","980,448","986,738"
management_of_companies_and_enterprises,"112,092","106,883","105,941","107,053","107,759","108,848","108,489","108,237","108,376","106,199","104,433","107,551","103,009","101,836","101,026","101,682","102,502","105,865","105,481","105,727","104,062","104,311","106,573","108,620","106,127","104,790","105,623","109,371","113,105","117,171","117,204","116,755","115,976","110,792","110,797","110,760","105,613","105,012","105,890","106,043","108,381","110,117","109,858","105,982","106,569","106,944","107,404","107,115","102,855","102,080","101,787","103,372","105,524","108,046","108,463","106,148","106,134","105,237","105,324","106,937","106,180","104,759","101,944","101,838","102,206","104,792","104,186","102,487","103,955","103,127","100,851","101,977","97,479","96,728","96,473","97,686","98,144","100,103","98,995","97,690","98,543","98,942","95,898","97,336","95,876","97,766","95,514","96,143","98,489","101,238","96,628","95,927","96,747","98,791","97,041","99,546","97,548","98,682","99,027","100,014","102,498","103,977","105,703","105,423","106,842","108,188","109,516","110,309","107,971","105,891","105,210","107,137","109,660","112,681","112,658"
"administrative_and_support,_waste_management_and_remediation_services","691,169","706,951","708,873","719,609","731,685","748,531","753,179","748,009","752,255","750,352","741,491","738,941","708,130","713,766","715,941","726,929","744,999","761,013","762,352","759,320","762,935","758,555","752,327","750,543","717,809","715,123","721,751","734,564","763,452","777,242","780,579","782,266","776,576","774,843","771,222","761,828","725,539","726,580","733,251","738,962","762,465","775,942","781,755","792,270","792,773","793,201","784,624","771,072","744,115","740,751","745,984","751,920","786,618","798,791","797,926","801,813","801,835","800,607","784,984","776,870","747,174","740,910","744,525","755,054","784,560","797,944","805,188","799,646","806,398","797,733","785,073","780,311","741,880","748,874","751,641","763,361","778,713","804,073","813,503","810,494","817,922","806,380","800,580","800,226","760,446","758,506","764,063","776,921","803,351","827,109","826,407","830,951","826,321","819,197","811,256","801,423","772,936","774,165","778,589","788,925","811,552","835,229","832,214","833,031","843,186","841,265","843,760","825,935","793,143","794,739","796,157","796,459","822,178","843,220","852,412"
educational_services,"1,195,583","1,249,375","1,252,342","1,245,611","1,224,493","1,202,311","943,309","811,942","1,104,190","1,225,902","1,249,458","1,271,464","1,207,659","1,252,317","1,256,893","1,251,810","1,216,487","1,193,406","920,929","811,623","1,096,004","1,220,726","1,241,506","1,249,491","1,193,298","1,257,071","1,265,472","1,257,935","1,226,196","1,206,026","932,448","830,056","1,138,402","1,243,093","1,270,224","1,279,428","1,227,107","1,283,942","1,296,180","1,289,402","1,253,216","1,229,732","949,925","850,521","1,162,647","1,286,913","1,312,015","1,304,200","1,257,996","1,310,082","1,312,423","1,303,640","1,268,399","1,249,892","959,638","856,615","1,164,102","1,292,267","1,316,367","1,316,349","1,270,882","1,325,008","1,326,200","1,327,783","1,287,058","1,272,563","979,315","856,385","1,170,472","1,301,730","1,331,017","1,341,491","1,281,780","1,336,571","1,345,951","1,346,203","1,310,999","1,296,550","992,120","873,566","1,201,170","1,326,599","1,354,419","1,363,839","1,290,044","1,362,241","1,370,706","1,361,877","1,324,190","1,317,701","1,018,194","889,697","1,245,345","1,370,667","1,385,320","1,404,880","1,335,570","1,400,595","1,413,144","1,400,404","1,369,157","1,357,973","1,049,486","918,913","1,280,855","1,402,403","1,432,912","1,433,201","1,373,345","1,438,473","1,451,836","1,453,080","1,414,280","1,397,108","1,100,625"
health_care_and_social_assistance,"1,615,777","1,615,728","1,625,395","1,628,746","1,629,547","1,650,965","1,661,535","1,656,252","1,657,800","1,650,644","1,652,790","1,676,799","1,653,618","1,646,965","1,662,776","1,668,656","1,669,772","1,686,627","1,699,977","1,696,176","1,698,236","1,688,931","1,696,457","1,711,846","1,687,184","1,686,478","1,695,031","1,701,156","1,711,523","1,725,734","1,737,262","1,735,741","1,728,989","1,726,370","1,731,152","1,739,416","1,730,200","1,719,897","1,723,545","1,729,659","1,741,175","1,750,776","1,764,530","1,759,201","1,756,168","1,748,978","1,755,770","1,775,307","1,757,861","1,757,408","1,755,064","1,759,386","1,773,592","1,788,026","1,803,244","1,793,634","1,792,823","1,786,714","1,785,775","1,801,676","1,792,635","1,792,344","1,795,186","1,800,863","1,804,442","1,818,610","1,834,928","1,824,168","1,829,342","1,831,805","1,832,369","1,846,343","1,839,033","1,836,449","1,850,562","1,856,395","1,864,854","1,884,026","1,900,026","1,891,846","1,896,036","1,891,797","1,896,122","1,906,287","1,884,632","1,886,334","1,893,310","1,892,690","1,900,548","1,924,604","1,936,020","1,927,829","1,934,937","1,927,746","1,933,063","1,948,669","1,933,048","1,924,550","1,937,417","1,943,507","1,954,074","1,976,835","1,982,411","1,990,810","1,991,260","1,996,091","2,002,299","2,011,256","2,000,058","1,997,371","2,006,751","2,006,587","2,023,539","2,045,691","2,061,347"
arts_entertainment_and_recreation,"216,122","218,644","220,941","234,614","251,741","270,522","283,855","280,564","270,463","248,926","223,860","222,790","217,774","221,073","221,963","230,577","251,590","274,614","286,641","281,234","276,437","254,145","231,857","227,879","221,647","224,842","228,258","236,369","257,675","275,681","288,922","285,099","272,418","252,437","233,248","229,015","224,894","228,805","229,906","232,786","256,969","275,653","290,693","288,311","274,040","257,122","236,236","233,155","229,905","230,925","231,315","234,805","260,960","280,620","295,632","292,799","280,131","260,385","234,791","233,902","230,182","230,221","233,713","240,552","268,166","289,382","305,713","300,907","295,212","281,005","256,061","254,064","247,641","253,435","256,209","262,860","284,812","309,913","325,111","320,348","314,702","291,884","270,565","269,904","262,904","266,320","268,140","272,107","295,640","322,672","336,256","332,941","320,809","297,015","274,181","273,104","268,371","272,602","277,219","276,631","307,666","328,605","345,964","338,769","326,305","305,673","287,817","285,004","282,200","283,117","287,928","292,156","318,864","338,884","356,361"
accommodation_and_food_services,"1,030,641","1,030,969","1,031,790","1,036,229","1,071,627","1,108,718","1,122,047","1,105,367","1,109,831","1,086,756","1,067,042","1,070,493","1,041,495","1,040,224","1,048,734","1,063,788","1,094,222","1,131,137","1,142,203","1,139,959","1,145,027","1,122,528","1,107,930","1,113,059","1,079,952","1,075,311","1,085,518","1,108,008","1,144,945","1,179,175","1,187,071","1,187,864","1,180,993","1,159,773","1,146,649","1,146,454","1,113,734","1,112,460","1,123,660","1,147,188","1,191,312","1,217,985","1,231,907","1,235,338","1,221,096","1,200,133","1,174,338","1,175,655","1,147,380","1,139,169","1,145,562","1,158,708","1,205,174","1,238,014","1,251,845","1,253,801","1,247,101","1,226,743","1,201,012","1,201,758","1,174,720","1,168,743","1,178,787","1,195,785","1,244,652","1,270,729","1,287,243","1,281,744","1,278,133","1,262,289","1,235,409","1,241,070","1,205,051","1,199,071","1,211,783","1,228,937","1,270,477","1,308,667","1,322,734","1,318,970","1,320,543","1,293,443","1,269,395","1,272,680","1,236,550","1,230,696","1,246,025","1,259,821","1,303,157","1,347,132","1,350,814","1,351,674","1,354,004","1,320,956","1,298,613","1,299,138","1,263,808","1,255,221","1,268,205","1,281,359","1,322,290","1,366,160","1,366,806","1,369,324","1,364,579","1,335,379","1,318,567","1,323,262","1,290,462","1,279,654","1,290,997","1,298,531","1,340,092","1,380,878","1,402,247"
other_services_except_public_administration,"493,877","495,156","500,252","506,068","510,268","518,153","518,849","512,802","514,762","515,301","515,394","519,343","503,337","505,884","509,959","514,287","517,033","527,218","530,514","527,564","528,997","527,287","529,649","529,768","510,011","513,671","518,093","519,224","529,215","535,917","536,898","536,773","533,220","533,108","535,209","538,237","520,118","525,012","527,364","534,071","538,753","542,976","547,242","546,786","542,080","543,409","542,975","544,489","529,070","530,866","533,561","537,802","547,846","555,594","559,291","554,087","553,328","553,596","550,019","553,360","538,221","540,407","540,318","544,650","548,523","554,542","559,331","550,675","547,603","549,403","546,312","546,565","526,645","525,186","527,235","531,391","536,897","546,136","543,901","540,549","542,173","538,964","537,722","544,951","524,160","526,755","527,946","531,706","539,395","550,904","551,164","548,614","550,322","547,234","545,273","547,940","531,054","531,339","535,674","539,909","549,856","558,402","556,665","554,639","554,892","554,140","558,189","557,192","543,253","541,816","546,291","549,422","557,400","565,703","569,335"
public_administration,"1,014,659","1,020,717","1,026,261","1,030,408","1,051,867","1,075,414","1,087,008","1,076,595","1,059,802","1,048,212","1,039,536","1,042,586","1,017,423","1,029,649","1,036,431","1,036,440","1,076,395","1,106,758","1,108,327","1,085,605","1,060,973","1,043,589","1,038,408","1,043,787","1,018,386","1,029,383","1,033,666","1,031,099","1,054,604","1,080,880","1,078,559","1,072,354","1,051,614","1,035,577","1,033,503","1,035,115","1,011,476","1,020,381","1,022,004","1,019,227","1,043,499","1,066,962","1,078,184","1,073,692","1,047,919","1,038,690","1,035,805","1,034,424","1,017,298","1,023,183","1,027,344","1,026,004","1,048,429","1,074,872","1,092,431","1,079,076","1,048,704","1,035,463","1,028,514","1,034,293","1,016,966","1,021,176","1,026,646","1,028,132","1,053,999","1,071,657","1,083,840","1,072,753","1,048,377","1,036,032","1,029,427","1,033,704","1,019,574","1,030,687","1,035,447","1,039,074","1,080,796","1,116,029","1,117,754","1,096,234","1,082,690","1,065,481","1,061,562","1,058,808","1,049,450","1,057,437","1,057,652","1,054,411","1,086,369","1,119,798","1,136,315","1,123,727","1,105,087","1,091,023","1,092,734","1,097,281","1,077,778","1,088,348","1,092,425","1,090,275","1,125,261","1,153,106","1,163,412","1,153,534","1,131,462","1,120,953","1,119,498","1,114,566","1,107,763","1,119,838","1,125,538","1,124,167","1,162,535","1,187,050","1,198,579"
unclassified_businesses_7,"227,285","229,933","238,714","245,001","257,758","277,014","290,792","294,081","304,990","301,575","290,766","291,548","273,036","255,834","259,088","263,919","280,355","299,674","308,174","308,960","319,241","315,156","295,510","285,360","264,800","251,499","256,073","262,915","274,059","293,655","296,627","284,629","282,447","275,328","268,665","260,995","246,110","238,492","231,627","241,067","240,422","250,425","256,822","261,811","257,542","256,417","249,208","230,069","216,910","206,419","214,932","217,857","224,761","225,221","227,708","235,639","239,765","240,478","234,099","234,759","237,695","239,789","243,442","246,245","262,721","261,883","272,805","278,742","280,011","286,563","278,702","287,200","277,012","273,360","280,751","296,279","300,624","323,294","322,320","319,685","319,067","312,408","297,777","302,776","299,763","303,105","313,167","318,284","330,919","341,630","341,832","347,132","345,875","338,545","342,640","358,659","354,395","347,961","344,184","345,800","350,293","362,141","362,532","358,471","359,936","361,510","282,849","288,497","298,695","292,707","303,751","308,321","323,409","310,782","313,476"
